pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,32,0,128,0,,,,,338.39055159999407,,338.38205119999475,338.39055159999407,339.3902484999853,339.3902484999853,339.3902484999853,339.3902484999853,339.3902484999853,340.3899065000005,340.3899065000005,340.9627216999943,x,1,0.5624099000124261,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,32,1,129,1,,,,,340.97332719998667,,340.9643073999905,340.97332719998667,341.9734429999953,341.9734429999953,341.9734429999953,341.9734429999953,341.9734429999953,342.9730695000035,342.9730695000035,343.2963469999959,v,1,0.3188973999931477,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,32,2,130,2,,,,,343.3065782999911,,343.29793719999725,343.3065782999911,344.306514099997,344.306514099997,344.306514099997,344.306514099997,344.306514099997,345.3062884999963,345.3062884999963,345.6635943999863,c,1,0.35510730001260526,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,32,3,131,3,,,,,345.6731940000027,,345.665242099989,345.6731940000027,346.6886326999811,346.6886326999811,346.6886326999811,346.6886326999811,346.6886326999811,347.672316399985,347.672316399985,348.23120259999996,z,1,0.548895599989919,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,33,0,132,0,,,,,348.25505149998935,,348.232812000002,348.25505149998935,349.2549366999883,349.2549366999883,349.2549366999883,349.2549366999883,349.27272789998096,350.2392112999805,350.2392112999805,350.9297050999885,x,1,0.6834129999915604,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,33,1,133,1,,,,,350.93971219999366,,350.9313016999804,350.93971219999366,351.9393408999895,351.9393408999895,351.9393408999895,351.9393408999895,351.9393408999895,352.93948819997604,352.93948819997604,353.3778239999956,v,1,0.42268369998782873,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,33,2,134,2,,,,,353.3894008999923,,353.37906419998035,353.3894008999923,354.38931159998174,354.38931159998174,354.38931159998174,354.38931159998174,354.38931159998174,355.3891440999869,355.3891440999869,356.293986899982,c,1,0.9006816000037361,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,33,3,135,3,,,,,356.3054804999847,,356.2952245999768,356.3054804999847,357.30606039997656,357.30606039997656,357.30606039997656,357.30606039997656,357.30606039997656,358.3052292999928,358.3052292999928,358.679484399996,z,1,0.36461180000333115,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,34,0,136,0,,,,,358.6897255999793,,358.681102499977,358.6897255999793,359.68946639998467,359.68946639998467,359.68946639998467,359.68946639998467,359.68946639998467,360.6883663999906,360.6883663999906,361.59430739999516,x,1,0.8746352000162005,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,34,1,137,1,,,,,361.6055978999939,,361.59588639999856,361.6055978999939,362.6058252999792,362.6058252999792,362.6058252999792,362.6058252999792,362.6058252999792,363.605418799998,363.605418799998,364.328932000004,v,1,0.7181320000090636,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,34,2,138,2,,,,,364.33872929998324,,364.3305769999861,364.33872929998324,365.3385762999824,365.3385762999824,365.3385762999824,365.3385762999824,365.3385762999824,366.33867679999094,366.33867679999094,366.7945179999806,c,1,0.4256475000001956,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,34,3,139,3,,,,,366.8055575999897,,366.7961308999802,366.8055575999897,367.8052817999851,367.8052817999851,367.8052817999851,367.8052817999851,367.8052817999851,368.8215594999783,368.8215594999783,369.3286918999802,z,1,0.5018187999958172,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,35,0,140,0,,,,,369.33855389998644,,369.3302905999881,369.33855389998644,370.33861669999897,370.33861669999897,370.33861669999897,370.33861669999897,370.33861669999897,371.3535355999775,371.3535355999775,371.66200939999544,x,1,0.30088439999963157,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,35,1,141,1,,,,,371.67179389999365,,371.6636290999886,371.67179389999365,372.6717976999935,372.6717976999935,372.6717976999935,372.6717976999935,372.6717976999935,373.67191139998613,373.67191139998613,374.67813779998687,v,1,0.9997225999832153,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,35,2,142,2,,,,,374.68814459998976,,374.6797577999823,374.68814459998976,375.68838269999833,375.68838269999833,375.68838269999833,375.68838269999833,375.68838269999833,376.68794619999244,376.68794619999244,377.0113345999853,c,1,0.3124540999997407,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,35,3,143,3,,,,,377.0216553999926,,377.01297579999664,377.0216553999926,378.0217516999983,378.0217516999983,378.0217516999983,378.0217516999983,378.0217516999983,379.0213653999963,379.0213653999963,379.51094809998176,z,1,0.4793325000209734,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,36,0,144,0,,,,,379.5208625999803,,379.5125145999773,379.5208625999803,380.5214974999835,380.5214974999835,380.5214974999835,380.5214974999835,380.5214974999835,381.5208996000001,381.5208996000001,381.8104977000039,x,1,0.27884010001434945,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,36,1,145,1,,,,,381.820960299985,,381.811936699989,381.820960299985,382.8216965000029,382.8216965000029,382.8216965000029,382.8216965000029,382.8216965000029,383.8208583999949,383.8208583999949,384.1619312999828,v,1,0.3333789999887813,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,36,2,146,2,,,,,384.1709856999805,,384.1636337999953,384.1709856999805,385.1716155000031,385.1716155000031,385.1716155000031,385.1716155000031,385.1716155000031,386.1707361000008,386.1707361000008,386.74362669998663,c,1,0.5682602000015322,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
